,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
gunzip_ID0000014,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445055.0,1621445055.0,1621445060.0,5.0,,22.0,19.0,5.0,3.0,11998806.0,9.0,23464772.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,midlothian.tx-20170329-073347.netcdf.gz,0.3,0,0
gunzip_ID0000003,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445055.0,1621445055.0,1621445060.0,5.0,,22.0,19.0,5.0,3.0,12025624.0,9.0,23464772.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,midlothian.tx-20170329-073307.netcdf.gz,0.3,0,0
gunzip_ID0000015,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445054.0,1621445054.0,1621445060.0,5.0,,22.0,18.0,6.0,3.0,11161910.0,9.0,24347964.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,mesquite.tx-20170329-073347.netcdf.gz,0.3,0,0
gunzip_ID0000004,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445054.0,1621445054.0,1621445060.0,5.0,,22.0,18.0,6.0,4.0,11145039.0,9.0,24380252.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,mesquite.tx-20170329-073307.netcdf.gz,0.3,0,0
gunzip_ID0000010,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445049.0,1621445049.0,1621445054.0,5.0,,22.0,13.0,5.0,2.0,4462576.0,8.0,14534020.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,denton.tx-20170329-073327.netcdf.gz,0.1,0,0
gunzip_ID0000011,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445054.0,1621445054.0,1621445060.0,5.0,,22.0,18.0,6.0,3.0,13994441.0,10.0,25879224.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,ftworth.tx-20170329-073331.netcdf.gz,0.3,0,0
gunzip_ID0000009,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445054.0,1621445054.0,1621445060.0,5.0,,22.0,18.0,6.0,3.0,11111766.0,9.0,24347964.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,mesquite.tx-20170329-073327.netcdf.gz,0.3,0,0
gunzip_ID0000002,compute,0,1621445009.0,,,1621445014.0,1621445036.0,1621445049.0,1621445049.0,1621445054.0,5.0,,22.0,13.0,5.0,2.0,1230883.0,7.0,5176716.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,cleburne.tx-20170329-073302.netcdf.gz,0.0,0,0
um_vel_ID0000018,compute,0,1621445060.0,,,1621445065.0,1621445065.0,1621445100.0,1621445100.0,1621445105.0,5.0,,0.0,35.0,5.0,25.0,524398312.0,4.0,556900.0,panorama,condorpool,worker-3,um_vel,/opt/UM_VEL/UM_VEL,denton.tx-20170329-073301.netcdf   cleburne.tx-20170329-073302.netcdf   midlothian.tx-20170329-073307.netcdf   mesquite.tx-20170329-073307.netcdf   ftworth.tx-20170329-073311.netcdf   arlington.tx-20170329-073314.netcdf   cleburne.tx-20170329-073325.netcdf   midlothian.tx-20170329-073327.netcdf   mesquite.tx-20170329-073327.netcdf   denton.tx-20170329-073327.netcdf   ftworth.tx-20170329-073331.netcdf   arlington.tx-20170329-073334.netcdf   addison.tx-20170329-073337.netcdf   midlothian.tx-20170329-073347.netcdf   mesquite.tx-20170329-073347.netcdf   ftworth.tx-20170329-073351.netcdf   arlington.tx-20170329-073354.netcdf,2.3,0,0
stage_out_local_condorpool_1_0,transfer,0,1621445105.0,,,1621445110.0,1621445110.0,1621445120.0,1621445120.0,1621445125.0,5.0,,0.0,10.0,5.0,,,5.0,1113800.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.4,0,0
merged_netcdf2png_ID0000019,compute,0,1621445105.0,,,1621445110.0,1621445111.0,1621445130.0,1621445130.0,1621445135.0,5.0,,1.0,19.0,5.0,10.0,170623105.0,5.0,12174.0,panorama,condorpool,worker-3,merged_netcdf2png,/opt/netcdf2png/merged_netcdf2png,"-c   max_wind.png   -q   235   -z   11.176,38   -o   MaxVelocity_20170329-073354.png   MaxVelocity_20170329-073354.netcdf",0.2,0,0
mvt_ID0000020,compute,0,1621445105.0,,,1621445110.0,1621445129.0,1621445205.0,1621445205.0,1621445210.0,5.0,,19.0,76.0,5.0,10.0,170622820.0,5.0,45087.0,panorama,condorpool,worker-3,mvt,/opt/mvt/mvt,MaxVelocity_20170329-073354.netcdf,56.2,0,0
stage_out_local_condorpool_2_0,transfer,0,1621445210.0,,,1621445215.0,1621445215.0,1621445225.0,1621445225.0,1621445230.0,5.0,,0.0,10.0,5.0,,,6.0,114522.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
pointalert_ID0000021,compute,0,1621445210.0,,,1621445215.0,1621445216.0,1621445235.0,1621445235.0,1621445240.0,5.0,,1.0,19.0,5.0,11.0,170132238.0,5.0,20558.0,panorama,condorpool,worker-3,pointalert,/opt/pointAlert/pointAlert,-c   pointAlert_config.txt   -p   -o   alert_20170329-073354.geojson   -g   hospital_locations.geojson   mvt_MaxVelocity_20170329-073354.geojson,0.0,0,0
stage_out_local_condorpool_3_0,transfer,0,1621445240.0,,,1621445245.0,1621445245.0,1621445255.0,1621445255.0,1621445260.0,5.0,,0.0,10.0,5.0,,,5.0,41116.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
cleanup_casa_wind_wf-20200817T053729Z_0_condorpool,auxiliary,0,1621445260.0,,,1621445265.0,1621445265.0,1621445270.0,1621445270.0,1621445275.0,5.0,,0.0,5.0,5.0,,,,,panorama,local,master,pegasus::cleanup,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
