,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
gunzip_ID0000014,compute,0,1621474015.0,,,1621474020.0,1621474022.0,1621474041.0,1621474041.0,1621474046.0,5.0,,2.0,19.0,5.0,4.0,12102246.0,8.0,23464772.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,midlothian.tx-20170329-073747.netcdf.gz,0.3,0,0
gunzip_ID0000003,compute,0,1621474015.0,,,1621474020.0,1621474023.0,1621474041.0,1621474041.0,1621474046.0,5.0,,3.0,18.0,5.0,3.0,12190541.0,8.0,23464772.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,midlothian.tx-20170329-073707.netcdf.gz,0.3,0,0
gunzip_ID0000015,compute,0,1621474015.0,,,1621474020.0,1621474022.0,1621474041.0,1621474041.0,1621474046.0,5.0,,2.0,19.0,5.0,3.0,11672120.0,8.0,24380252.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,mesquite.tx-20170329-073747.netcdf.gz,0.3,0,0
gunzip_ID0000004,compute,0,1621474015.0,,,1621474020.0,1621474023.0,1621474041.0,1621474041.0,1621474046.0,5.0,,3.0,18.0,5.0,2.0,11568102.0,9.0,24283388.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,mesquite.tx-20170329-073707.netcdf.gz,0.3,0,0
gunzip_ID0000010,compute,0,1621474015.0,,,1621474020.0,1621474023.0,1621474036.0,1621474036.0,1621474041.0,5.0,,3.0,13.0,5.0,3.0,4080046.0,8.0,14534020.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,denton.tx-20170329-073727.netcdf.gz,0.1,0,0
gunzip_ID0000011,compute,0,1621474015.0,,,1621474020.0,1621474023.0,1621474041.0,1621474041.0,1621474046.0,5.0,,3.0,18.0,5.0,4.0,14076459.0,8.0,25879224.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,ftworth.tx-20170329-073731.netcdf.gz,0.3,0,0
gunzip_ID0000009,compute,0,1621474015.0,,,1621474020.0,1621474022.0,1621474036.0,1621474036.0,1621474041.0,5.0,,2.0,14.0,5.0,3.0,11536378.0,7.0,24380252.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,mesquite.tx-20170329-073727.netcdf.gz,0.3,0,0
gunzip_ID0000002,compute,0,1621474015.0,,,1621474020.0,1621474022.0,1621474036.0,1621474036.0,1621474041.0,5.0,,2.0,14.0,5.0,3.0,1228008.0,6.0,5176716.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,cleburne.tx-20170329-073702.netcdf.gz,0.0,0,0
um_vel_ID0000018,compute,0,1621474046.0,,,1621474051.0,1621474052.0,1621474101.0,1621474101.0,1621474106.0,5.0,,1.0,49.0,5.0,33.0,524295828.0,5.0,556900.0,panorama,condorpool,worker-0,um_vel,/opt/UM_VEL/UM_VEL,denton.tx-20170329-073701.netcdf   cleburne.tx-20170329-073702.netcdf   midlothian.tx-20170329-073707.netcdf   mesquite.tx-20170329-073707.netcdf   ftworth.tx-20170329-073711.netcdf   arlington.tx-20170329-073714.netcdf   cleburne.tx-20170329-073725.netcdf   midlothian.tx-20170329-073727.netcdf   mesquite.tx-20170329-073727.netcdf   denton.tx-20170329-073727.netcdf   ftworth.tx-20170329-073731.netcdf   addison.tx-20170329-073732.netcdf   arlington.tx-20170329-073735.netcdf   midlothian.tx-20170329-073747.netcdf   mesquite.tx-20170329-073747.netcdf   ftworth.tx-20170329-073751.netcdf   arlington.tx-20170329-073754.netcdf,2.2,0,0
stage_out_local_condorpool_1_0,transfer,0,1621474106.0,,,1621474111.0,1621474111.0,1621474121.0,1621474121.0,1621474126.0,5.0,,0.0,10.0,5.0,,,5.0,1113800.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
merged_netcdf2png_ID0000019,compute,0,1621474106.0,,,1621474111.0,1621474111.0,1621474136.0,1621474136.0,1621474141.0,5.0,,0.0,25.0,5.0,17.0,170623105.0,5.0,12827.0,panorama,condorpool,worker-0,merged_netcdf2png,/opt/netcdf2png/merged_netcdf2png,"-c   max_wind.png   -q   235   -z   11.176,38   -o   MaxVelocity_20170329-073754.png   MaxVelocity_20170329-073754.netcdf",0.2,0,0
mvt_ID0000020,compute,0,1621474106.0,,,1621474111.0,1621474131.0,1621474206.0,1621474206.0,1621474211.0,5.0,,20.0,75.0,5.0,11.0,170622820.0,5.0,48178.0,panorama,condorpool,worker-0,mvt,/opt/mvt/mvt,MaxVelocity_20170329-073754.netcdf,53.8,0,0
stage_out_local_condorpool_2_0,transfer,0,1621474211.0,,,1621474216.0,1621474216.0,1621474226.0,1621474226.0,1621474231.0,5.0,,0.0,10.0,5.0,,,6.0,122010.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
pointalert_ID0000021,compute,0,1621474211.0,,,1621474216.0,1621474216.0,1621474241.0,1621474241.0,1621474246.0,5.0,,0.0,25.0,5.0,14.0,170135329.0,4.0,20478.0,panorama,condorpool,worker-0,pointalert,/opt/pointAlert/pointAlert,-c   pointAlert_config.txt   -p   -o   alert_20170329-073754.geojson   -g   hospital_locations.geojson   mvt_MaxVelocity_20170329-073754.geojson,0.0,0,0
stage_out_local_condorpool_3_0,transfer,0,1621474246.0,,,1621474251.0,1621474251.0,1621474261.0,1621474261.0,1621474266.0,5.0,,0.0,10.0,5.0,,,5.0,40956.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
cleanup_casa_wind_wf-20200817T054129Z_0_condorpool,auxiliary,0,1621474266.0,,,1621474271.0,1621474271.0,1621474276.0,1621474276.0,1621474281.0,5.0,,0.0,5.0,5.0,,,,,panorama,local,master,pegasus::cleanup,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
