,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
gunzip_ID0000003,compute,0,1621391744.0,,,1621391749.0,1621391766.0,1621391784.0,1621391784.0,1621391789.0,5.0,,17.0,18.0,5.0,3.0,11883944.0,9.0,23464772.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,midlothian.tx-20170329-072007.netcdf.gz,0.3,0,0
gunzip_ID0000015,compute,0,1621391744.0,,,1621391749.0,1621391766.0,1621391784.0,1621391784.0,1621391789.0,5.0,,17.0,18.0,5.0,3.0,13449711.0,8.0,25844256.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,ftworth.tx-20170329-072051.netcdf.gz,0.3,0,0
gunzip_ID0000004,compute,0,1621391744.0,,,1621391749.0,1621391766.0,1621391784.0,1621391784.0,1621391789.0,5.0,,17.0,18.0,5.0,3.0,10718938.0,9.0,24412540.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,mesquite.tx-20170329-072007.netcdf.gz,0.3,0,0
gunzip_ID0000010,compute,0,1621391744.0,,,1621391749.0,1621391766.0,1621391779.0,1621391779.0,1621391784.0,5.0,,17.0,13.0,5.0,3.0,4586601.0,8.0,14534020.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,denton.tx-20170329-072027.netcdf.gz,0.1,0,0
gunzip_ID0000011,compute,0,1621391744.0,,,1621391749.0,1621391766.0,1621391779.0,1621391779.0,1621391784.0,5.0,,17.0,13.0,5.0,3.0,13393297.0,8.0,25844256.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,ftworth.tx-20170329-072031.netcdf.gz,0.3,0,0
gunzip_ID0000009,compute,0,1621391744.0,,,1621391749.0,1621391766.0,1621391779.0,1621391779.0,1621391784.0,5.0,,17.0,13.0,5.0,3.0,10799519.0,8.0,24412540.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,mesquite.tx-20170329-072027.netcdf.gz,0.3,0,0
gunzip_ID0000002,compute,0,1621391744.0,,,1621391749.0,1621391766.0,1621391779.0,1621391779.0,1621391784.0,5.0,,17.0,13.0,5.0,2.0,1167093.0,7.0,5205708.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,cleburne.tx-20170329-072002.netcdf.gz,0.1,0,0
um_vel_ID0000018,compute,0,1621391789.0,,,1621391794.0,1621391794.0,1621391824.0,1621391824.0,1621391829.0,5.0,,0.0,30.0,5.0,21.0,524515868.0,4.0,556900.0,panorama,condorpool,worker-2,um_vel,/opt/UM_VEL/UM_VEL,denton.tx-20170329-072001.netcdf   cleburne.tx-20170329-072002.netcdf   midlothian.tx-20170329-072007.netcdf   mesquite.tx-20170329-072007.netcdf   ftworth.tx-20170329-072011.netcdf   arlington.tx-20170329-072015.netcdf   cleburne.tx-20170329-072026.netcdf   midlothian.tx-20170329-072027.netcdf   mesquite.tx-20170329-072027.netcdf   denton.tx-20170329-072027.netcdf   ftworth.tx-20170329-072031.netcdf   arlington.tx-20170329-072035.netcdf   midlothian.tx-20170329-072047.netcdf   mesquite.tx-20170329-072047.netcdf   ftworth.tx-20170329-072051.netcdf   addison.tx-20170329-072053.netcdf   arlington.tx-20170329-072055.netcdf,2.3,0,0
stage_out_local_condorpool_1_0,transfer,0,1621391829.0,,,1621391834.0,1621391834.0,1621391844.0,1621391844.0,1621391849.0,5.0,,0.0,10.0,5.0,,,5.0,1113800.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
merged_netcdf2png_ID0000019,compute,0,1621391829.0,,,1621391834.0,1621391834.0,1621391854.0,1621391854.0,1621391859.0,5.0,,0.0,20.0,5.0,9.0,170623105.0,4.0,10860.0,panorama,condorpool,worker-2,merged_netcdf2png,/opt/netcdf2png/merged_netcdf2png,"-c   max_wind.png   -q   235   -z   11.176,38   -o   MaxVelocity_20170329-072055.png   MaxVelocity_20170329-072055.netcdf",0.2,0,0
mvt_ID0000020,compute,0,1621391829.0,,,1621391834.0,1621391850.0,1621391919.0,1621391919.0,1621391924.0,5.0,,16.0,69.0,5.0,9.0,170622820.0,4.0,27908.0,panorama,condorpool,worker-2,mvt,/opt/mvt/mvt,MaxVelocity_20170329-072055.netcdf,53.4,0,0
stage_out_local_condorpool_2_0,transfer,0,1621391924.0,,,1621391929.0,1621391929.0,1621391939.0,1621391939.0,1621391944.0,5.0,,0.0,10.0,5.0,,,6.0,77536.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.4,0,0
pointalert_ID0000021,compute,0,1621391924.0,,,1621391929.0,1621391929.0,1621391949.0,1621391949.0,1621391954.0,5.0,,0.0,20.0,5.0,10.0,170115059.0,4.0,20478.0,panorama,condorpool,worker-2,pointalert,/opt/pointAlert/pointAlert,-c   pointAlert_config.txt   -p   -o   alert_20170329-072055.geojson   -g   hospital_locations.geojson   mvt_MaxVelocity_20170329-072055.geojson,0.0,0,0
stage_out_local_condorpool_3_0,transfer,0,1621391954.0,,,1621391959.0,1621391959.0,1621391969.0,1621391969.0,1621391974.0,5.0,,0.0,10.0,5.0,,,4.0,40956.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
cleanup_casa_wind_wf-20200817T052429Z_0_condorpool,auxiliary,0,1621391974.0,,,1621391979.0,1621391979.0,1621391984.0,1621391984.0,1621391989.0,5.0,,0.0,5.0,5.0,,,,,panorama,local,master,pegasus::cleanup,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
