,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
gunzip_ID0000014,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872468.0,1620872468.0,1620872473.0,5.0,,3.0,18.0,5.0,3.0,11680653.0,9.0,23464772.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,midlothian.tx-20170329-071247.netcdf.gz,0.3,0,0
gunzip_ID0000003,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872468.0,1620872468.0,1620872473.0,5.0,,3.0,18.0,5.0,3.0,881087.0,8.0,22147600.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,addison.tx-20170329-071205.netcdf.gz,0.1,0,0
gunzip_ID0000015,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872468.0,1620872468.0,1620872473.0,5.0,,3.0,18.0,5.0,3.0,10517951.0,9.0,24315676.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,mesquite.tx-20170329-071247.netcdf.gz,0.3,0,0
gunzip_ID0000004,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872468.0,1620872468.0,1620872473.0,5.0,,3.0,18.0,5.0,3.0,11855866.0,8.0,23464772.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,midlothian.tx-20170329-071207.netcdf.gz,0.3,0,0
gunzip_ID0000010,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872468.0,1620872468.0,1620872473.0,5.0,,3.0,18.0,5.0,2.0,10598848.0,9.0,24412540.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,mesquite.tx-20170329-071227.netcdf.gz,0.3,0,0
gunzip_ID0000011,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872468.0,1620872468.0,1620872473.0,5.0,,3.0,18.0,5.0,3.0,4588515.0,8.0,14534020.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,denton.tx-20170329-071227.netcdf.gz,0.1,0,0
gunzip_ID0000009,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872468.0,1620872468.0,1620872473.0,5.0,,3.0,18.0,5.0,2.0,11873103.0,8.0,23464772.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,midlothian.tx-20170329-071227.netcdf.gz,0.3,0,0
gunzip_ID0000002,compute,0,1620872442.0,,,1620872447.0,1620872450.0,1620872463.0,1620872463.0,1620872468.0,5.0,,3.0,13.0,5.0,2.0,1019438.0,7.0,5205708.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,cleburne.tx-20170329-071203.netcdf.gz,0.0,0,0
um_vel_ID0000018,compute,0,1620872473.0,,,1620872478.0,1620872478.0,1620872508.0,1620872508.0,1620872513.0,5.0,,0.0,30.0,5.0,21.0,524354428.0,4.0,556900.0,panorama,condorpool,worker-2,um_vel,/opt/UM_VEL/UM_VEL,denton.tx-20170329-071201.netcdf   cleburne.tx-20170329-071203.netcdf   addison.tx-20170329-071205.netcdf   midlothian.tx-20170329-071207.netcdf   mesquite.tx-20170329-071207.netcdf   ftworth.tx-20170329-071211.netcdf   arlington.tx-20170329-071215.netcdf   cleburne.tx-20170329-071226.netcdf   midlothian.tx-20170329-071227.netcdf   mesquite.tx-20170329-071227.netcdf   denton.tx-20170329-071227.netcdf   ftworth.tx-20170329-071231.netcdf   arlington.tx-20170329-071235.netcdf   midlothian.tx-20170329-071247.netcdf   mesquite.tx-20170329-071247.netcdf   ftworth.tx-20170329-071251.netcdf   arlington.tx-20170329-071255.netcdf,2.5,0,0
stage_out_local_condorpool_1_0,transfer,0,1620872513.0,,,1620872518.0,1620872518.0,1620872528.0,1620872528.0,1620872533.0,5.0,,0.0,10.0,5.0,,,4.0,1113800.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
merged_netcdf2png_ID0000019,compute,0,1620872513.0,,,1620872518.0,1620872519.0,1620872538.0,1620872538.0,1620872543.0,5.0,,1.0,19.0,5.0,10.0,170623105.0,4.0,10733.0,panorama,condorpool,worker-2,merged_netcdf2png,/opt/netcdf2png/merged_netcdf2png,"-c   max_wind.png   -q   235   -z   11.176,38   -o   MaxVelocity_20170329-071255.png   MaxVelocity_20170329-071255.netcdf",0.3,0,0
mvt_ID0000020,compute,0,1620872513.0,,,1620872518.0,1620872535.0,1620872608.0,1620872608.0,1620872613.0,5.0,,17.0,73.0,5.0,9.0,170622820.0,4.0,29554.0,panorama,condorpool,worker-2,mvt,/opt/mvt/mvt,MaxVelocity_20170329-071255.netcdf,53.9,0,0
stage_out_local_condorpool_2_0,transfer,0,1620872613.0,,,1620872618.0,1620872618.0,1620872628.0,1620872628.0,1620872633.0,5.0,,0.0,10.0,5.0,,,6.0,80574.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.4,0,0
pointalert_ID0000021,compute,0,1620872613.0,,,1620872618.0,1620872618.0,1620872638.0,1620872638.0,1620872643.0,5.0,,0.0,20.0,5.0,10.0,170116705.0,4.0,20478.0,panorama,condorpool,worker-2,pointalert,/opt/pointAlert/pointAlert,-c   pointAlert_config.txt   -p   -o   alert_20170329-071255.geojson   -g   hospital_locations.geojson   mvt_MaxVelocity_20170329-071255.geojson,0.0,0,0
stage_out_local_condorpool_3_0,transfer,0,1620872643.0,,,1620872648.0,1620872648.0,1620872658.0,1620872658.0,1620872663.0,5.0,,0.0,10.0,5.0,,,5.0,40956.0,panorama,local,master,pegasus::transfer,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,--threads   2,0.3,0,0
cleanup_casa_wind_wf-20200817T051628Z_0_condorpool,auxiliary,0,1620872663.0,,,1620872668.0,1620872668.0,1620872673.0,1620872673.0,1620872678.0,5.0,,0.0,5.0,5.0,,,,,panorama,local,master,pegasus::cleanup,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
